citation,doi,pmid,ref_id,ref_number,source_location,source_review,table_lead,table_outcome,table_row,title,year
"33. Shanker S, Pradhan B. Effect of yoga on the motor proficiency of children with autism spectrum disorder and the feasibility of its inclusion in special school environments. Adapt Phys Activ Q. (2022) 39:247–67. doi: 10.1123/apaq.2021-0108",10.1123/apaq.2021-0108,,B33,33,Detailed information on qualitative analysis.,PMC11491325,Sindhu Shanker; India; RCT,"Motor Proficiency (Brieftotal,P=0.005; Manual coordination,P=0.019; Body coordination,P=0.01)","Sindhu Shanker; India; RCT | EG:9.77 ± 2.63; CG:9.61 ± 1.93 | M:35; F:8 | Medical diagnosis | Group yoga (NI) | Chronic | 12 weeks | NR | 45min | Motor Proficiency (Brieftotal,P=0.005; Manual coordination,P=0.019; Body coordination,P=0.01)",,2022
"55. Shanker S, Pradhan B. Effect of yoga on the social responsiveness and problem behaviors of children with ASD in special schools: A randomized controlled trial. Explore (NY). (2023) 19:594–9. doi: 10.1016/j.explore.2022.12.004",10.1016/j.explore.2022.12.004,,B55,55,Detailed information on qualitative analysis.,PMC11491325,Sindhu Shanker; India; RCT,"Social Responsiveness (Social communication,P=0.021; Social Cognition,P=0.008; Social Cognition); Social Motivation subscale,P=0.042; RRB:P=0.016); Problem behaviors (Irritability,P=0.041; Social withdrawal,P=0.047)","Sindhu Shanker; India; RCT | EG:9.77 ± 2.63; CG:9.61 ± 1.93 | M:35; F:8 | Medical diagnosis | Group yoga (NI) | Chronic | 12 weeks | NR | 45min | Social Responsiveness (Social communication,P=0.021; Social Cognition,P=0.008; Social Cognition); Social Motivation subscale,P=0.042; RRB:P=0.016); Problem behaviors (Irritability,P=0.041; Social withdrawal,P=0.047)",,2023
"56. Sotoodeh MS, Arabameri E, Panahibakhsh M, Kheiroddin F, Mirdoozandeh H, Ghanizadeh A. Effectiveness of yoga training program on the severity of autism. Complement Ther Clin Pract. (2017) 28:47–53. doi: 10.1016/j.ctcp.2017.05.001",10.1016/j.ctcp.2017.05.001,,B56,56,Detailed information on qualitative analysis.,PMC11491325,Mohammad Saber Sotoodeh; Iran; RCT,Sociability (P=0.001); Sensory/Cognitive/Awareness (P=0.004); Health/Physical/Behavior (P=0.001);,Mohammad Saber Sotoodeh; Iran; RCT | EG:10.8 ± 2.36; CG:10.5 ± 1.87 | M; 21; F:8 | DSM-5 | Yoga (NI) | Chronic | 8 weeks | 3 times a week | 30min | Sociability (P=0.001); Sensory/Cognitive/Awareness (P=0.004); Health/Physical/Behavior (P=0.001);,,2017
"57. Teixeira-MaChado L, Arida RM, Ziebold C, Barboza AB, Ribeiro L, Teles MC, et al. A pilot randomized controlled clinical trial of dance practice for functionality in autistic children and adolescent with all levels of need support. Complement Ther Clin Pract. (2022) 49:101650. doi: 10.1016/j.ctcp.2022.101650",10.1016/j.ctcp.2022.101650,,B57,57,Detailed information on qualitative analysis.,PMC11491325,Lavinia Teixeira-Machado; Brazil; RCT,Communication (P< 0.001); Social cognition (P< 0.001); Autistic behavior (P< 0.001),Lavinia Teixeira-Machado; Brazil; RCT | EG:10.412.24; CG:10 ± 2.03 | M:29; F:7 | DSM-5 | Dance (SC) | Chronic | 24 weeks | 1 time a week | 40min | Communication (P< 0.001); Social cognition (P< 0.001); Autistic behavior (P< 0.001),,2022
"34. Ansari S, Elmieh A, Hojjati Z. Effects of aquatic exercise training on pain, symptoms, motor performance, and quality of life of older males with knee osteoarthritis. Ann-Appl-Sport-Sci. (2014) 2:29–38. doi: 10.18869/acadpub.aassjournal.2.2.29",10.18869/acadpub.aassjournal.2.2.29,,B34,34,Detailed information on qualitative analysis.,PMC11491325,Soleyman Ansari; Iran; RCT,Static balance (P< 0.05); Dynamic balance (P=0.001),Soleyman Ansari; Iran; RCT | 8-14 | M:30 | DSM-5 | Aquatic exercise/karate (NI) | Chronic | 10 weeks | 2 times a week | 60min | Static balance (P< 0.05); Dynamic balance (P=0.001),,2014
"35. Marzouki H, Soussi B, Selmi O, Hajji Y, Marsigliante S, Bouhlel E, et al. Effects of aquatic training in children with autism spectrum disorder. Biol (Basel). (2022) 11. doi: 10.3390/biology11050657",10.3390/biology11050657,,B35,35,Detailed information on qualitative analysis.,PMC11491325,Hamza Marzouki; Tunisia; RCT,"Gross motor skills (Locomotor’ s ability, P< 0.001; Control skills, P< 0.001); Stereotypy behavior (P=0.014); Emotion Regulation","Hamza Marzouki; Tunisia; RCT | 6-7 | M:21; F:7 | DSM-5 | Aquatic exercise (NI) | Chronic | 8 weeks | 2 times a week | 50min | Gross motor skills (Locomotor’ s ability, P< 0.001; Control skills, P< 0.001); Stereotypy behavior (P=0.014); Emotion Regulation",,2022
"36. Hassani F, Shahrbanian S, Shahidi SH, Sheikh M. Playing games can improve physical performance in children with autism. Int J Dev Disabil. (2022) 68:219–26. doi: 10.1080/20473869.2020.1752995",10.1080/20473869.2020.1752995,,B36,36,Detailed information on qualitative analysis.,PMC11491325,Fahimeh Hassani; Iran; RCT,Gross skill (P=0.005); Fine skill (P=0.005); Motor skill (P=0.005),Fahimeh Hassani; Iran; RCT | 8-11 | M:20; F:10 | DSM-5 | SPARK/ICPL (NI) | Chronic | 8 weeks | 2 times a week | 60min | Gross skill (P=0.005); Fine skill (P=0.005); Motor skill (P=0.005),,2022
"58. Bahrami F, Movahedi A, Marandi SM, Sorensen C. The effect of karate techniques training on communication deficit of children with autism spectrum disorders. J Autism Dev Disord. (2016) 46:978–86. doi: 10.1007/s10803-015-2643-y",10.1007/s10803-015-2643-y,,B58,58,Detailed information on qualitative analysis.,PMC11491325,Fatimah Bahrami; USA; RCT,Communication deficit (P=0.000),Fatimah Bahrami; USA; RCT | EG:9.2 ± 3.32; CG:9.06 ± 3.33 | M:26; F:4 | DSM-4 | KTT (Education) | Chronic | 14 weeks | 4 times a week | 30-90min | Communication deficit (P=0.000),,2016
"59. Phung JN, Goldberg WA. Mixed martial arts training improves social skills and lessens problem behaviors in boys with Autism Spectrum Disorder. Res Autism Spectr Disord. (2021) 83:101758. doi: 10.1016/j.rasd.2021.101758",10.1016/j.rasd.2021.101758,,B59,59,Detailed information on qualitative analysis.,PMC11491325,Janice N. Phung; USA; RCT,Social skills (P< 0.01); Problem behaviors (P< 0.01),Janice N. Phung; USA; RCT | EG:9.1 ± 1.1; CG:9.52 ± 1.07 | M:28; F:6 | ADOS-2 | MMAT (NI) | Chronic | 13 weeks | 2 times a week | 45min | Social skills (P< 0.01); Problem behaviors (P< 0.01),,2021
"49. Wang JG, Cai KL, Liu ZM, Herold F, Zou L, Zhu LN, et al. Effects of mini-basketball training program on executive functions and core symptoms among preschool children with autism spectrum disorders. Brain Sci. (2020) 10. doi: 10.3390/brainsci10050263",10.3390/brainsci10050263,,B49,49,Detailed information on qualitative analysis.,PMC11491325,Kelong Cai; China; RCT,Social communication (P< 0.05); Ssocial cognition (P< 0.05); White Matter Structure,Kelong Cai; China; RCT | EG:5.13 ± 0.61; CG:4.68 ± 0.72 | M:25; F:4 | DSM-5 | MBT (NI) | Chronic (MHE) | 12 weeks | 5 times a week | 40min | Social communication (P< 0.05); Ssocial cognition (P< 0.05); White Matter Structure,,2020
"37. Adin E, Pancar Z. Effect of swimming exercise on respiratory muscle strength and respiratory functions in children with autism. Eurasian J Med. (2023) 55:135–9. doi: 10.5152/eajm.2023.0118",10.5152/eajm.2023.0118,,B37,37,Detailed information on qualitative analysis.,PMC11491325,Emine Adin; Turkey; PTPT,FEV (P=0.017); FVC (P=0.03); MVV (P=0.017); IVC (P=0.025),Emine Adin; Turkey; PTPT | EG:10.25 ± 0.46; CG:10.57 ± 1.27 | M:13; F:2 | NR | Swimming (NI) | Chronic | 6 weeks | 3 times a week | 60min | FEV (P=0.017); FVC (P=0.03); MVV (P=0.017); IVC (P=0.025),,2023
"38. Dehghani M, Jafarnezhadgero AA, Darvishani MA, Aali S, Granacher U. Effects of an 8-week multimodal exercise program on ground reaction forces and plantar pressure during walking in boys with autism spectrum disorder. Trials. (2023) 24:170. doi: 10.1186/s13063-023-07158-7",10.1186/s13063-023-07158-7,,B38,38,Detailed information on qualitative analysis.,PMC11491325,Mahrokh Dehghani; Iran; PTPT,PVGR (P=0.001); Loading rate (P=0.009); PPMHR (P=0.021),Mahrokh Dehghani; Iran; PTPT | EG:9.2 ± 0.6; CG:9.4 ± 0.5 | M:24 | GARS2 | SPARK (NI) | Chronic | 6 weeks | 3 times a week | 45min | PVGR (P=0.001); Loading rate (P=0.009); PPMHR (P=0.021),,2023
"39. Helsel BC, Foster RNS, Sherman J, Ptomey LT, Montgomery RN, Washburn RA, et al. A remotely delivered yoga intervention for adolescents with autism spectrum disorder: feasibility and effectiveness for improving skills related to physical activity. J Autism Dev Disord. (2023) 53:3958–67. doi: 10.1007/s10803-022-05702-z",10.1007/s10803-022-05702-z,,B39,39,Detailed information on qualitative analysis.,PMC11491325,Brian C. Helsel; USA; PTPT,"Physical activity-related skills (Leg strength, P< 0.05; Flexibility, P=0.008; Dynamic balance, P=0.001)","Brian C. Helsel; USA; PTPT | 13.2 ± 2.2 | M:11; F:8 | Medical diagnosis | Yoga | Chronic | 6 weeks | 3 times a week | 30min | Physical activity-related skills (Leg strength, P< 0.05; Flexibility, P=0.008; Dynamic balance, P=0.001)",,2023
"40. Howells K, Sivaratnam C, Lindor E, He J, Hyde C, McGillivray J, et al. Can a community-based football program benefit motor ability in children with autism spectrum disorder? A pilot evaluation considering the role of social impairments. J Autism Dev Disord. (2022) 52:402–13. doi: 10.1007/s10803-021-04933-w",10.1007/s10803-021-04933-w,,B40,40,Detailed information on qualitative analysis.,PMC11491325,Katherine Howells; Australia; PTPT,Total motor ability (P=0.03); Aiming and catching (P< 0.001); Balance (P=0.01); Manual dexterity,Katherine Howells; Australia; PTPT | EG:8.01 ± 1.8; CG:8.73 ± 2.33 | M:32; F:3 | DSM-5/ICD-10 | CBFP (NR) | Chronic | 10-22 weeks | 1 time a week | 60-90min | Total motor ability (P=0.03); Aiming and catching (P< 0.001); Balance (P=0.01); Manual dexterity,,2022
"41. Howells K, Sivaratnam C, Lindor E, Hyde C, McGillivray J, Whitehouse A, et al. Can participation in a community organized football program improve social, behavioural functioning and communication in children with autism spectrum disorder? A pilot study. J Autism Dev Disord. (2020) 50:3714–27. doi: 10.1007/s10803-020-04423-5",10.1007/s10803-020-04423-5,,B41,41,Detailed information on qualitative analysis.,PMC11491325,Katherine Howells; Australia; PTPT,"Behavior problems (Total, P=0.048; Internalizing, P=0.01; Anxiety, P=0.001; Social problems, P=0.01)","Katherine Howells; Australia; PTPT | EG:7.98 ± 1.71; CG:8.62 ± 2.26 | M:37; F:3 | DSM-4/5 | CBFP (NI) | Chronic | 4-21weeks | 1 time a week | 60-90min | Behavior problems (Total, P=0.048; Internalizing, P=0.01; Anxiety, P=0.001; Social problems, P=0.01)",,2020
"42. Kaur M, Eigsti IM, Bhat A. Effects of a creative yoga intervention on the joint attention and social communication skills, as well as affective states of children with Autism Spectrum Disorder. Res Autism Spectr Disord. (2021) 88. doi: 10.1016/j.rasd.2021.101860",10.1016/j.rasd.2021.101860,,B42,42,Detailed information on qualitative analysis.,PMC11491325,Maninderjit Kaur; USA; PTPT,JAT (P< 0.05); SDVC (P=0.05); GIA (P< 0.02); LNA (P< 0.02),Maninderjit Kaur; USA; PTPT | 5-13 | M:21; F:2 | ADOS-2 | Yoga (Academic) | Chronic | 8weeks | 4 times a week | 45min | JAT (P< 0.05); SDVC (P=0.05); GIA (P< 0.02); LNA (P< 0.02),,2021
"43. Ludyga S, Gerber M, Bruggisser F, Leuenberger R, Brotzmann M, Trescher S, et al. A randomized cross-over trial investigating the neurocognitive effects of acute exercise on face recognition in children with autism spectrum disorder. Autism Res. (2023) 16:1630–9. doi: 10.1002/aur.2977",10.1002/aur.2977,,B43,43,Detailed information on qualitative analysis.,PMC11491325,Sebastian Ludyga; Switzerland:,"Cognitive performance (Increased reaction time, P=0.044); HNN (P< 0.001); GCPS (P=0.049)","Sebastian Ludyga; Switzerland: | EG:10.9 ± 1.5; CG:10.4 ± 2.0 | M:29; F:1 | DSM-5 | Cycling (Watch video) | Acute (MI) |  | 1 time | 20min | Cognitive performance (Increased reaction time, P=0.044); HNN (P< 0.001); GCPS (P=0.049)",,2023
"44. Pierantozzi E, Morales J, Fukuda DH, Garcia V, Gómez AM, Guerra-Balic M, et al. Effects of a long-term adapted judo program on the health-related physical fitness of children with ASD. Int J Environ Res Public Health. (2022) 19. doi: 10.3390/ijerph192416731",10.3390/ijerph192416731,,B44,44,Detailed information on qualitative analysis.,PMC11491325,Emanuela Pierantozzi; Italy; PTPT,"Cardiorespiratory fitness, (VO2max,P< 0.05); Waist circumference (P< 0.001)","Emanuela Pierantozzi; Italy; PTPT | EG:11.1 ± 1.9; CG:11 ± 1.5 | 40 | DSM-5 | Judo Program (NI) | Chronic | 6 months | 1 time a week | 90min | Cardiorespiratory fitness, (VO2max,P< 0.05); Waist circumference (P< 0.001)",,2022
"45. Rosenblatt LE, Gorantla S, Torres JA, Yarmush RS, Rao S, Park ER, et al. Relaxation response-based yoga improves functioning in young children with autism: a pilot study. J Altern Complement Med. (2011) 17:1029–35. doi: 10.1089/acm.2010.0834",10.1089/acm.2010.0834,,B45,45,Detailed information on qualitative analysis.,PMC11491325,Lucy E. Rosenblatt; USA; PTPT,"BASC-2 (BSI, P=0.04; Atypicality, P=0.02);","Lucy E. Rosenblatt; USA; PTPT | 3.6-16.5 | M:22; F:2 | NR | Yoga & Dance | Chronic | 8weeks | 1 time a week | 45min | BASC-2 (BSI, P=0.04; Atypicality, P=0.02);",,2011
"46. Tabeshian R, Nezakat-Alhosseini M, Movahedi A, Zehr EP, Faramarzi S. The effect of tai chi chuan training on stereotypic behavior of children with autism spectrum disorder. J Autism Dev Disord. (2022) 52:2180–6. doi: 10.1007/s10803-021-05090-w",10.1007/s10803-021-05090-w,,B46,46,Detailed information on qualitative analysis.,PMC11491325,Roza Tabeshian; Iran; RCT,Stereotypic behavior (P=0.001),Roza Tabeshian; Iran; RCT | 6-12 | M:19; F:4 | Medical diagnosis | Ta chi chuan (NR) | Chronic | 12weeks | 3 times a week | 45min | Stereotypic behavior (P=0.001),,2022
"7. Toscano CVA, Ferreira JP, Quinaud RT, Silva KMN, Carvalho HM, Gaspar JM. Exercise improves the social and behavioral skills of children and adolescent with autism spectrum disorders. Front Psychiatry. (2022) 13:1027799. doi: 10.3389/fpsyt.2022.1027799",10.3389/fpsyt.2022.1027799,,B7,7,Detailed information on qualitative analysis.,PMC11491325,Chrystiane V. A. Toscano; Portugal: RCT,"Metabolic indicators (high-density lipoprotein cholesterol, low-density lipoprotein cholesterol, and totalcholesterol); Autism traits; PQL","Chrystiane V. A. Toscano; Portugal: RCT | EG:8.2 ± 1.7; CG; 8.9 ± 2.0 | M:56; F:8 | DSM-4 | PAE (SC) | Chronic | 48weeks | 2 times a week | 40min | Metabolic indicators (high-density lipoprotein cholesterol, low-density lipoprotein cholesterol, and totalcholesterol); Autism traits; PQL",,2022
"47. Toscano CVA, Carvalho HM, Ferreira JP. Exercise effects for children with autism spectrum disorder: metabolic health, autistic traits, and quality of life. Percept Mot Skills. (2018) 125:126–46. doi: 10.1177/0031512517743823",10.1177/0031512517743823,,B47,47,Detailed information on qualitative analysis.,PMC11491325,Chrystiane V. A. Toscano; Brazil; PTPT,"Social interaction problems, Attention deficit,Emotional reactivity, Stereotypical verbal, motor behavior, AsleepDisturbances (Decreased)","Chrystiane V. A. Toscano; Brazil; PTPT | 2.3-17.3 | M:196; F:33 | DSM-5 | PAE (SC) | Chronic (MI) | 48weeks | 2 times a week | 30min | Social interaction problems, Attention deficit,Emotional reactivity, Stereotypical verbal, motor behavior, AsleepDisturbances (Decreased)",,2018
"48. Vidyashree HM, Maheshkumar K, Sundareswaran L, Sakthivel G, Partheeban PK, Rajan R. Effect of yoga intervention on short-term heart rate variability in children with autism spectrum disorder. Int J Yoga. (2019) 12:73–7. doi: 10.4103/ijoy.ijoy_66_17",10.4103/ijoy.ijoy_66_17,,B48,48,Detailed information on qualitative analysis.,PMC11491325,HM Vidyashree; India; RCT,"Mean Heart rate, (Reduction, P=0.03); SDNN (Increase, P=0.04); PNN50% (Decrease, P=0.02)Effect parasympatheticdominance","HM Vidyashree; India; RCT | EG:10.56 ± 3.98; CG:11.7 ± 4.28 | M:23; F:5 | NR | Yoga (SC) | Chronic | 3 months | 7 times a week | 40min | Mean Heart rate, (Reduction, P=0.03); SDNN (Increase, P=0.04); PNN50% (Decrease, P=0.02)Effect parasympatheticdominance",,2019
"49. Wang JG, Cai KL, Liu ZM, Herold F, Zou L, Zhu LN, et al. Effects of mini-basketball training program on executive functions and core symptoms among preschool children with autism spectrum disorders. Brain Sci. (2020) 10. doi: 10.3390/brainsci10050263",10.3390/brainsci10050263,,B49,49,Detailed information on qualitative analysis.,PMC11491325,Jin-Gui Wang; China; RCT,Working memory (P< 0.01); Regulation (P< 0.05); SocialCommunication (P< 0.05); Repetitive behavior (P< 0.05);,Jin-Gui Wang; China; RCT | EG:5.11 ± 0.65; CG:4.7 ± 0.70 | M; 28; F:5 | DSM-5 | Basketball (NI) | Chronic | 12weeks | 5 times a week | 40min | Working memory (P< 0.01); Regulation (P< 0.05); SocialCommunication (P< 0.05); Repetitive behavior (P< 0.05);,,2020
"50. Yamaner YB, Demirli A, Moghanlou AE, Gökçelik E. The effect of aerobic exercises on skill behaviour of autestic children. Pakistan J Med Health Sci. (2022) 16:713–. doi: 10.53350/pjmhs22163713",10.53350/pjmhs22163713,,B50,50,Detailed information on qualitative analysis.,PMC11491325,"YUSUF BURAK YAMANER; Turkey, RCT",Coordination (P=0.001); Agility (P=0.001),"YUSUF BURAK YAMANER; Turkey, RCT | 8-10 | 30 | NR | Aerobic Exercises | Chronic | 3 months | 53times a week | 45min | Coordination (P=0.001); Agility (P=0.001)",,2022
"51. Zhou D, Liu Z, Gong G, Zhang Y, Lin L, Cai K, et al. Decreased functional and structural connectivity is associated with core symptom improvement in children with autism spectrum disorder after mini-basketball training program. J Autism Dev Disord. (2023).",,,B51,51,Detailed information on qualitative analysis.,PMC11491325,Dongyue Zhou; China; RCT,Improve brain functional and structural networks,Dongyue Zhou; China; RCT | EG:6.4 ± 2.07; CG:5.94 ± 1.79 | M:50; F:8 | DSM-5 | Basketball (NI) | Chronic | 12weeks | 5 times a week | 40min | Improve brain functional and structural networks,,2023
